quantile,value,type,location,target,forecast_date,target_end_date
0.650,286,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.700,304,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.750,324,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.800,347,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.850,366,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.900,397,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.950,450,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.975,489,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.990,530,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.010,110,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.025,122,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.050,139,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.100,163,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.150,184,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.200,199,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.250,214,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.300,227,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.350,245,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.400,265,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.450,290,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.500,311,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
,311,point,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.550,337,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.600,372,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.650,400,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.700,433,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.750,471,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.800,510,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.850,576,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.900,649,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.950,730,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.975,796,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.990,884,quantile,05,3 wk ahead inc death,2020-12-06,2020-12-26
0.010,93,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.025,104,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.050,126,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.100,153,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.150,180,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.200,208,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.250,239,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.300,270,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.350,297,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.400,329,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.450,367,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.500,410,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
,410,point,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.550,446,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
